order_id,customer_id,order_date,product_category,order_status,quantity,unit_price
1001,C001,2026-01-01,Electronics,completed,1,249.99
1002,C002,2026-01-03,Home,completed,2,34.50
1003,C003,2026-01-05,Apparel,completed,3,24.99
1004,C004,2026-01-07,Beauty,refunded,1,49.00
1005,C005,2026-01-09,Books,completed,2,14.95
1006,C006,2026-01-11,Electronics,completed,1,399.00
1007,C007,2026-01-13,Sports,completed,4,18.75
1008,C008,2026-01-15,Home,refunded,1,89.99
1009,C009,2026-01-17,Apparel,completed,2,45.00
1010,C010,2026-01-19,Beauty,completed,3,19.99
1011,C011,2026-01-21,Books,completed,1,32.00
1012,C012,2026-01-23,Electronics,refunded,1,129.99
1013,C013,2026-01-25,Sports,completed,2,64.50
1014,C014,2026-01-27,Home,completed,1,159.00
1015,C015,2026-01-29,Apparel,completed,0,39.99
1016,C016,2026-01-31,Beauty,completed,2,27.50
1017,C017,2026-01-31,Electronics,completed,1,89.99
1018,C018,2026-02-01,Electronics,completed,1,219.99
1019,C019,2026-02-02,Home,completed,3,42.00
1020,C020,2026-02-04,Apparel,refunded,2,29.99
1021,C021,2026-02-06,Beauty,completed,1,74.50
1022,C022,2026-02-08,Books,completed,4,11.25
1023,C023,2026-02-10,Sports,completed,1,120.00
1024,C024,2026-02-12,Electronics,refunded,1,499.00
1025,C025,2026-02-14,Home,completed,2,88.00
1026,C026,2026-02-16,Apparel,completed,5,16.00
1027,C027,2026-02-18,Beauty,completed,2,31.75
1028,C028,2026-02-20,Books,refunded,1,24.00
1029,C029,2026-02-22,Sports,completed,3,39.99
1030,C030,2026-02-24,Electronics,completed,1,349.99
1031,C031,2026-02-26,Home,completed,1,210.00
1032,C032,2026-02-28,Apparel,completed,2,54.25
1033,C033,2026-02-28,Beauty,refunded,1,65.00
1034,C034,2026-03-01,Books,completed,3,18.50
1035,C035,2026-03-02,Sports,completed,2,74.00
1036,C036,2026-03-04,Electronics,completed,1,599.00
1037,C037,2026-03-06,Home,refunded,1,145.00
1038,C038,2026-03-08,Apparel,completed,4,22.50
1039,C039,2026-03-10,Beauty,completed,2,44.00
1040,C040,2026-03-12,Books,completed,1,27.95
1041,C041,2026-03-14,Sports,refunded,1,89.50
1042,C042,2026-03-16,Electronics,completed,2,159.99
1043,C043,2026-03-18,Home,completed,1,260.00
1044,C044,2026-03-20,Apparel,completed,3,35.00
1045,C045,2026-03-22,Beauty,completed,1,99.00
1046,C046,2026-03-24,Books,refunded,2,15.00
1047,C047,2026-03-26,Sports,completed,2,58.75
1048,C048,2026-03-28,Electronics,completed,1,279.99
1049,C049,2026-03-30,Home,completed,2,72.00
1050,C050,2026-03-31,Apparel,refunded,1,48.00
1051,C051,2026-04-01,Beauty,completed,3,25.00
1052,C052,2026-04-02,Books,completed,5,9.99
1053,C053,2026-04-04,Sports,completed,1,210.00
1054,C054,2026-04-06,Electronics,refunded,1,799.00
1055,C055,2026-04-08,Home,completed,1,330.00
1056,C056,2026-04-10,Apparel,completed,2,67.50
1057,C057,2026-04-12,Beauty,completed,2,52.00
1058,C058,2026-04-14,Books,refunded,1,19.99
1059,C059,2026-04-16,Sports,completed,3,45.00
1060,C060,2026-04-18,Electronics,completed,1,649.00
1061,C061,2026-04-20,Home,refunded,1,120.00
1062,C062,2026-04-22,Apparel,completed,4,18.00
1063,C063,2026-04-24,Beauty,completed,1,110.00
1064,C064,2026-04-26,Books,completed,2,21.50
1065,C065,2026-04-28,Sports,refunded,1,75.00
1066,C066,2026-04-30,Electronics,completed,1,299.99
1067,C067,2026-05-01,Home,completed,2,98.00
1068,C068,2026-05-03,Apparel,completed,3,28.00
1069,C069,2026-05-05,Beauty,refunded,1,85.00
1070,C070,2026-05-07,Books,completed,4,13.50
1071,C071,2026-05-09,Sports,completed,2,66.00
1072,C072,2026-05-11,Electronics,completed,1,449.00
1073,C073,2026-05-13,Home,completed,1,185.00
1074,C074,2026-05-15,Apparel,refunded,2,33.00
1075,C075,2026-05-17,Beauty,completed,2,47.50
1076,C076,2026-05-19,Books,completed,1,42.00
1077,C077,2026-05-21,Sports,completed,0,59.99
1078,C078,2026-05-23,Electronics,refunded,1,199.99
1079,C079,2026-05-25,Home,completed,3,58.00
1080,C080,2026-05-27,Apparel,completed,2,72.00
